window_miles,n_windows,covered_miles,episodes_in_complete_windows,mean_count,variance_count,dispersion_index,window_count_cv,replicate,total_miles,enough_windows_for_reliable_dispersion
1000.0,100,100000.0,3602,36.02,162.88848484848484,4.522167819225009,0.35432474506390776,1,100000.0,True
5000.0,20,100000.0,3602,180.1,904.4105263157895,5.021713083374734,0.16698178197076405,1,100000.0,False
10000.0,10,100000.0,3602,360.2,1555.5111111111112,4.318465050280708,0.10949463755451513,1,100000.0,False
25000.0,4,100000.0,3602,900.5,3327,3.6946141032759576,0.06405347314345247,1,100000.0,False
50000.0,2,100000.0,3602,1801.0,4232,2.3498056635202667,0.03612094606838555,1,100000.0,False
100000.0,1,100000.0,3602,3602.0,,,,1,100000.0,False
1000.0,200,200000.0,7330,36.65,169.143216080402,4.615094572452988,0.3548569480026904,1,200000.0,True
5000.0,40,200000.0,7330,183.25,886.2435897435897,4.836254241438416,0.1624548083482358,1,200000.0,True
10000.0,20,200000.0,7330,366.5,1732.157894736842,4.726215265311984,0.11355852942521259,1,200000.0,False
25000.0,8,200000.0,7330,916.25,6282.785714285715,6.857064899629703,0.08650916818278691,1,200000.0,False
50000.0,4,200000.0,7330,1832.5,5296.333333333333,2.8902228285584357,0.039714003692076456,1,200000.0,False
100000.0,2,200000.0,7330,3665.0,7938,2.165893587994543,0.024309810212688944,1,200000.0,False
1000.0,500,500000.0,18445,36.89,158.80751503006013,4.304893332341018,0.3416070852807977,1,500000.0,True
5000.0,100,500000.0,18445,184.45,667.6439393939394,3.6196472723986957,0.14008569720396372,1,500000.0,True
10000.0,50,500000.0,18445,368.9,1113.642857142857,3.0188204313983658,0.09046160996355342,1,500000.0,True
25000.0,20,500000.0,18445,922.25,2728.6184210526317,2.9586537501248378,0.05663993411203442,1,500000.0,False
50000.0,10,500000.0,18445,1844.5,2666.9444444444443,1.4458901840306015,0.027998084820364946,1,500000.0,False
100000.0,5,500000.0,18445,3689.0,3456.5,0.9369747899159664,0.015937112024764076,1,500000.0,False
1000.0,1000,1000000.0,37543,37.543,184.3324834834835,4.909902870934221,0.3616362554589879,1,1000000.0,True
5000.0,200,1000000.0,37543,187.715,951.7223869346734,5.070039085500218,0.16434487477025653,1,1000000.0,True
10000.0,100,1000000.0,37543,375.43,1868.7122222222222,4.977525030557553,0.1151442458333336,1,1000000.0,True
25000.0,40,1000000.0,37543,938.575,7400.455769230769,7.884778274757764,0.09165586312706187,1,1000000.0,True
50000.0,20,1000000.0,37543,1877.15,14284.134210526316,7.609479375929635,0.06366899332600622,1,1000000.0,False
100000.0,10,1000000.0,37543,3754.3,26483.12222222222,7.05407725067848,0.04334665797135815,1,1000000.0,False
1000.0,2000,2000000.0,75695,37.8475,185.2838856928464,4.895538296924405,0.35965129411261276,1,2000000.0,True
5000.0,400,2000000.0,75695,189.2375,962.171522556391,5.084465407524359,0.16391513188393866,1,2000000.0,True
10000.0,200,2000000.0,75695,378.475,2011.7983668341708,5.315538323097089,0.11851000814603689,1,2000000.0,True
25000.0,80,2000000.0,75695,946.1875,6782.204905063291,7.167929089174494,0.08703786851691335,1,2000000.0,True
50000.0,40,2000000.0,75695,1892.375,12964.39423076923,6.85085896334988,0.060168462287748394,1,2000000.0,True
100000.0,20,2000000.0,75695,3784.75,20378.61842105263,5.384402779854054,0.03771813156738135,1,2000000.0,False
1000.0,100,100000.0,3832,38.32,167.4521212121212,4.3698361485417845,0.3376912644674803,2,100000.0,True
5000.0,20,100000.0,3832,191.6,883.4105263157895,4.610702120646083,0.15512642363653395,2,100000.0,False
10000.0,10,100000.0,3832,383.2,964.6222222222223,2.517281373231269,0.08105002085156947,2,100000.0,False
25000.0,4,100000.0,3832,958.0,1876.6666666666667,1.9589422407794017,0.04521974000357615,2,100000.0,False
50000.0,2,100000.0,3832,1916.0,1458,0.7609603340292276,0.019928896755779524,2,100000.0,False
100000.0,1,100000.0,3832,3832.0,,,,2,100000.0,False
1000.0,200,200000.0,7705,38.525,176.56218592964825,4.583054793761149,0.3449103295992653,2,200000.0,True
5000.0,40,200000.0,7705,192.625,824.2403846153846,4.278989667049369,0.1490439298166204,2,200000.0,True
10000.0,20,200000.0,7705,385.25,1111.4605263157894,2.8850370572765462,0.086537505903728,2,200000.0,False
25000.0,8,200000.0,7705,963.125,1622.125,1.6842310188189487,0.041817638384056006,2,200000.0,False
50000.0,4,200000.0,7705,1926.25,3314.25,1.7205710577547046,0.029886838773360916,2,200000.0,False
100000.0,2,200000.0,7705,3852.5,840.5,0.218170019467878,0.007525341474016469,2,200000.0,False
1000.0,500,500000.0,19274,38.548,163.85540681362724,4.250685037190704,0.33206915571520257,2,500000.0,True
5000.0,100,500000.0,19274,192.74,783.4064646464647,4.064576448305824,0.1452184245493924,2,500000.0,True
10000.0,50,500000.0,19274,385.48,1507.2751020408164,3.9101253036235764,0.10071505919861978,2,500000.0,True
25000.0,20,500000.0,19274,963.7,1655.2736842105264,1.7176234141439517,0.0422175519369268,2,500000.0,False
