total_miles,runs,default_window_miles,default_window_count,total_unknown_episodes_mean,total_unknown_episodes_sd,total_unknown_episodes_min,total_unknown_episodes_max,episodes_per_million_miles_mean,episodes_per_million_miles_sd,episodes_per_million_miles_min,episodes_per_million_miles_max,element_episodes_mean,element_episodes_sd,element_episodes_min,element_episodes_max,hidden_triggering_episodes_mean,hidden_triggering_episodes_sd,hidden_triggering_episodes_min,hidden_triggering_episodes_max,full_scenario_episodes_mean,full_scenario_episodes_sd,full_scenario_episodes_min,full_scenario_episodes_max,unknown_time_fraction_mean,unknown_time_fraction_sd,unknown_time_fraction_min,unknown_time_fraction_max,default_window_mean_count_mean,default_window_mean_count_sd,default_window_mean_count_min,default_window_mean_count_max,default_window_dispersion_mean,default_window_dispersion_sd,default_window_dispersion_min,default_window_dispersion_max,episode_rate_abs_pct_error_vs_2m_mean,episode_rate_abs_pct_error_vs_2m_sd,episode_rate_abs_pct_error_vs_2m_min,episode_rate_abs_pct_error_vs_2m_max,unknown_fraction_abs_percentage_point_error_vs_2m_mean,unknown_fraction_abs_percentage_point_error_vs_2m_sd,unknown_fraction_abs_percentage_point_error_vs_2m_min,unknown_fraction_abs_percentage_point_error_vs_2m_max,episodes_per_million_miles_cv,unknown_time_fraction_cv
100000.0,5,10000.0,10,3768.6,155.5564206325152,3602,3962,37686.0,1555.5642063251519,36020.0,39620.0,1697.0,35.51760127035608,1673,1759,253.8,13.863621460498695,241,274,1817.8,138.86216187284424,1657,1962,0.020305181834809335,0.0005458501242536496,0.019589844009730666,0.021005468322059725,376.86,15.555642063251517,360.2,396.2,4.767002885628804,2.3575685451584594,2.517281373231269,8.357307514983862,0.030846731020625108,0.019260571101437435,0.006004954411631194,0.04828588414029989,0.044121127941695454,0.025026488466542426,0.015227179407379526,0.07645827411992857,0.041276978356024834,0.026882306629625666
200000.0,5,10000.0,20,7631.4,236.49587734250252,7330,7859,38157.0,1182.4793867125127,36650.0,39295.0,3382.2,61.0098352726837,3306,3464,495.6,15.17563837207516,474,516,3753.6,250.2874347625146,3441,4029,0.02042084085079441,0.000161544769542439,0.02020576318381437,0.020621328832182626,381.57,11.824793867125122,366.5,392.95,4.58904794896323,1.4435008246493908,2.8850370572765462,6.42153684748544,0.02317823971596229,0.01155450151343536,0.01056356766537172,0.038300458442879604,0.02070155897153647,0.014120275824176113,0.006765350193084843,0.04120250343279536,0.03098984162047626,0.00791077951798222
500000.0,5,10000.0,50,19078.4,382.52620825245424,18445,19453,38156.8,765.0524165049085,36890.0,38906.0,8534.8,58.68730697518843,8458,8599,1265.6,41.18009227770137,1228,1325,9278.0,373.80676826403237,8721,9736,0.020512382111642254,0.00024100329250133522,0.020117510028326437,0.020718139004799876,381.56800000000004,7.650524165049098,368.9,389.06,4.433416872082853,0.9492864276855406,3.0188204313983658,5.274923232028636,0.01647439562323058,0.007683608093463703,0.0076759456210117455,0.025298896888830174,0.013445389624081525,0.01217776700850223,0.0016741089609948606,0.02909673939543618,0.020050224770025486,0.011749161613196963
1000000.0,5,10000.0,100,37906.4,690.5192249315004,37499,39130,37906.4,690.5192249315004,37499.0,39130.0,17054.2,100.34789484588104,16976,17230,2523.4,60.168928858672565,2454,2613,18328.8,706.9750349199044,17969,19591,0.020551805753285,0.00024844362770469616,0.020317854264423545,0.020895266946667403,379.064,6.905192249315005,374.99,391.3,4.680755870785829,0.8141464973950385,3.8144852886312655,5.560563467540212,0.006633309142067946,0.0055487377964667925,0.0007716460007450376,0.015005901197099982,0.008265599313875757,0.0063268274306326555,0.0006792859240198346,0.016038685225757895,0.01821642849047919,0.012088651999106451
2000000.0,5,10000.0,200,75832.8,742.1847478896343,75164,77103,37916.4,371.09237394481715,37582.0,38551.5,34223.0,59.198817555758666,34157,34319,5025.4,64.5042634249861,4956,5106,36584.4,797.2241215618102,35878,37952,0.020521095608008702,0.00015134003159991493,0.020354426750929952,0.020734880094409824,379.164,3.710923739448166,375.82,385.515,4.78528916185073,0.689998305227102,3.988335620707928,5.63694123966655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009787120453018144,0.007374851445107636
