total_miles,window_miles,runs,n_windows,covered_miles,enough_windows_for_reliable_dispersion,mean_count_mean,mean_count_sd,mean_count_min,mean_count_max,variance_count_mean,variance_count_sd,variance_count_min,variance_count_max,dispersion_index_mean,dispersion_index_sd,dispersion_index_min,dispersion_index_max,window_count_cv_mean,window_count_cv_sd,window_count_cv_min,window_count_cv_max,dispersion_across_run_cv
100000.0,1000.0,5,100,100000.0,True,37.686,1.5555642063251507,36.02,39.62,188.1692727272727,45.93396473655123,160.99747474747474,269.22989898989897,4.984323640002533,1.1433600324328843,4.3698361485417845,7.025832437105923,0.3620179581679116,0.037703171735869116,0.3376912644674803,0.4281896285082748,0.22939121032523951
100000.0,5000.0,5,20,100000.0,False,188.43,7.777821031625758,180.1,198.1,1148.052105263158,249.68272626755515,883.4105263157895,1426.2526315789473,6.096782365164606,1.3355691403188015,4.610702120646083,7.484530829147557,0.17912395785896731,0.02048768518949096,0.15512642363653395,0.20349003094102497,0.21906131141401544
100000.0,10000.0,5,10,100000.0,False,376.86,15.555642063251517,360.2,396.2,1778.2866666666664,833.5275085035278,964.6222222222223,3021.1666666666665,4.767002885628804,2.3575685451584594,2.517281373231269,8.357307514983862,0.11016237871773311,0.028705969064137093,0.08105002085156947,0.15204741484923162,0.49455991567906893
100000.0,25000.0,5,4,100000.0,False,942.15,38.8891051581288,900.5,990.5,5328.183333333333,3137.84705495309,1876.6666666666667,9968.25,5.697906832608525,3.4850042452311505,1.9589422407794017,11.029875518672199,0.07499432250221304,0.024433017584178828,0.04521974000357615,0.11047427252199421,0.6116288573352648
100000.0,50000.0,5,2,100000.0,False,1884.3,77.7782103162576,1801.0,1981.0,10601.7,12122.214543968441,1458,30752,5.538093701433409,6.282158925449999,0.7609603340292276,16.05010438413361,0.047574064000367386,0.02810849144257301,0.019928896755779524,0.09152530361913558,1.1343540330175357
100000.0,100000.0,5,1,100000.0,False,3768.6,155.5564206325152,3602.0,3962.0,,,,,,,,,,,,,
200000.0,1000.0,5,200,200000.0,True,38.157,1.1824793867125134,36.65,39.295,182.69321105527638,26.2283359428277,156.28218592964825,225.36994974874372,4.7793369218652275,0.583198337899599,4.202828719366633,5.759518266004184,0.3533568943301296,0.01819554481392449,0.33619167327935934,0.38365260908411053,0.12202494769337054
200000.0,5000.0,5,40,200000.0,True,190.785,5.912396933562561,183.25,196.475,943.7678205128204,148.9006691874676,824.2403846153846,1196.4897435897435,4.940144705943978,0.6962792281807225,4.278989667049369,6.115459972347271,0.16060937545428913,0.010250333347941778,0.1490439298166204,0.17679689679348196,0.1409430835786976
200000.0,10000.0,5,20,200000.0,False,381.57,11.824793867125122,366.5,392.95,1748.6573684210525,553.0882929238248,1111.4605263157894,2512.7473684210527,4.58904794896323,1.4435008246493908,2.8850370572765462,6.42153684748544,0.10862131566332958,0.017829497717056924,0.086537505903728,0.1281045530328931,0.3145534413026803
200000.0,25000.0,5,8,200000.0,False,953.925,29.561984667812816,916.25,982.375,3946.846428571429,1911.2637658087967,1622.125,6282.785714285715,4.182703850103305,2.1398802629762974,1.6842310188189487,6.857064899629703,0.06454908596638452,0.018362368260730393,0.041817638384056006,0.08650916818278691,0.5116021453260302
200000.0,50000.0,5,4,200000.0,False,1907.85,59.12396933562563,1832.5,1964.75,6345.216666666667,3517.4938919436822,3314.25,12440.333333333334,3.3119712133153882,1.7720717760086142,1.7205710577547046,6.358463242184173,0.04062115082890925,0.009999778360931653,0.029886838773360916,0.05700804612389717,0.5350504765513086
200000.0,100000.0,5,2,200000.0,False,3815.7,118.24793867125126,3665.0,3929.5,9087.5,8462.619917909584,840.5,21424.5,2.407339697955701,2.2634504265774757,0.218170019467878,5.761597418313836,0.022433855838105848,0.012985182693546708,0.007525341474016469,0.039362943043059116,0.9402289292614519
500000.0,1000.0,5,500,500000.0,True,38.1568,0.7650524165049083,36.89,38.906,177.854077755511,20.600639090493388,158.80751503006013,200.3202244488978,4.657243911536549,0.4860215864415848,4.250685037190704,5.229746878887265,0.3489593963678552,0.016559358584282376,0.33206915571520257,0.36950325656555977,0.10435819889906374
500000.0,5000.0,5,100,500000.0,True,190.78400000000002,3.825262082524549,184.45,194.53,920.8598383838383,201.74634876153607,667.6439393939394,1152.4541414141413,4.81644261459992,1.0000499064513568,3.6196472723986957,6.017408841970244,0.15812269237119259,0.015651380674783312,0.14008569720396372,0.17725467299814002,0.20763247618064407
500000.0,10000.0,5,50,500000.0,True,381.56800000000004,7.650524165049098,368.9,389.06,1696.2581224489797,384.6851979871385,1113.642857142857,2052.261632653061,4.433416872082853,0.9492864276855406,3.0188204313983658,5.274923232028636,0.10718709578889259,0.01125400160728434,0.09046160996355342,0.11643935218355746,0.21412072337775864
500000.0,25000.0,5,20,500000.0,False,953.9200000000001,19.126310412622715,922.25,972.65,3961.2642105263158,1728.2446728076295,1655.2736842105264,5906.252631578947,4.1446115487939394,1.7808512795944316,1.7176234141439517,6.167765905993052,0.06446662710638296,0.015068539231877542,0.0422175519369268,0.0802549580887103,0.42967869452389335
500000.0,50000.0,5,10,500000.0,False,1907.8400000000001,38.25262082524543,1844.5,1945.3,7324.137777777779,6255.6172352031235,2599.3777777777777,17890.455555555556,3.807227463937495,3.1965491103751034,1.3486446911786747,9.196759140263998,0.041810880023937194,0.017005166401439672,0.02645226386840963,0.06875813889011499,0.8396002447064672
500000.0,100000.0,5,5,500000.0,False,3815.6800000000003,76.50524165049086,3689.0,3890.6,10915.119999999999,9293.979619732334,3456.5,23459.3,2.854816519531176,2.4280557175124056,0.9369747899159664,6.1245039682539675,0.02530744329493661,0.011526839431226423,0.015620469491787352,0.03998650033350975,0.8505120034513273
1000000.0,1000.0,5,1000,1000000.0,True,37.906400000000005,0.6905192249315014,37.499,39.13,179.5445301301301,21.93543573211795,155.57757657657658,208.72982982982984,4.731928280628435,0.5178507106734042,4.121369482014797,5.334266031940451,0.3528388129981723,0.017709931241151392,0.3304213108378855,0.3692176141685678,0.1094375653987363
1000000.0,5000.0,5,200,1000000.0,True,189.532,3.4525961246575023,187.495,195.65,941.0760201005025,172.9101723103805,720.3718341708543,1140.9221105527638,4.958081600240433,0.8545148229432411,3.842085571193121,5.831444469986015,0.1612023272807534,0.013376989705888617,0.14314911627698954,0.173961968217438,0.17234787400469628
1000000.0,10000.0,5,100,1000000.0,True,379.064,6.905192249315005,374.99,391.3,1776.8955151515152,329.9316510640618,1430.3938383838383,2175.848484848485,4.680755870785829,0.8141464973950385,3.8144852886312655,5.560563467540212,0.11074874084063449,0.009255614436673595,0.10061948572192515,0.11920774620715274,0.1739348344305672
