study,level_index,level_label,level_value,replicate,config_sha256,simulated_hours,simulated_miles,total_events,total_layer_transitions,total_unknown_episodes,episodes_per_hour,episodes_per_million_miles,unknown_time_fraction,episode_duration_mean_seconds,episode_duration_median_seconds,episode_duration_p90_seconds,episode_duration_max_seconds,inter_arrival_mean_seconds,inter_arrival_p90_seconds,window_count,window_mean,dispersion_index,c3_episodes,c4_episodes,c5_episodes,c6_episodes,selected_rule_count,selected_rule_mass_sum,selected_rule_mass_max,wall_seconds
layer_element_count_study,0,street_n6,6,1,8f8da6fb6920a6b9371fc070ebc15945e60fa4905a2c988bc75d2f0fa7deea20,1000.0,49999.99999999983,204118,204118,26,0.026,520.0000000000018,0.0001615352080349516,22.36641342022407,18.725835320423357,43.76771924365312,73.87974158744328,136468.1588557796,360863.12744736567,4,5.25,1.0634920634920635,26,0,0,0,100,0.0010995914386143523,0.00012071565135316196,0.875
layer_element_count_study,0,street_n6,6,2,74fc873b761ac089b0fc4097f0ba1397ee784a095a3e434ecce74ec5654eb713,1000.0,50000.00000000172,203868,203868,27,0.027,539.9999999999815,0.00013693253528739862,18.25767137165315,12.030014123534784,29.69572445880624,133.76045460210298,128412.72167805937,334478.1351823396,5,5.4,1.259259259259259,26,1,0,0,100,0.0012761284117440307,0.00012227220064406507,1.0619999999998981
layer_element_count_study,0,street_n6,6,3,da0768bedf5fbba608b3b33c3d99cb579f8085692f28bdcc5ba6603116a75ccb,1000.0,50000.00000000093,204274,204274,38,0.038,759.9999999999858,0.00019586011520076783,18.555168808493793,18.20339644770138,33.150844542478445,57.02691538038198,90427.9912356919,225308.4667449425,5,7.6,0.2368421052631579,35,3,0,0,100,0.001170211678262075,0.00013457223479954904,0.9369999999998981
layer_element_count_study,1,street_n8,8,1,7b58e1cfc28aab7b31b07858d54d330c6e5632546034e88b274b8d6b7127e954,1000.0,50000.000000000095,203922,203922,20,0.02,399.99999999999926,7.440063283589552e-05,13.392113910461195,12.056180901243351,26.701181495818325,39.06636881781742,151967.50132272,337931.9523073477,5,4.0,0.625,20,0,0,0,100,0.0009991599974896116,6.410573553937433e-05,0.9840000000003783
layer_element_count_study,1,street_n8,8,2,c818f81ae04c0f6360fc08c30365ac6e5c48fc2f52ba08553ddc5f67151f2f36,1000.0,49999.99999999937,203590,203590,23,0.023,460.00000000000585,0.000128556145563792,20.12183147955005,11.969908834435046,39.2717945679091,66.06710990425199,145407.19014148667,357827.64430086757,4,5.25,0.1746031746031746,23,0,0,0,100,0.0009395712698578884,5.9853784326014425e-05,0.9220000000004802
layer_element_count_study,1,street_n8,8,3,beb6563d442806215fdf453406953d7d882f44ebc66a368b7bcdcdaa53903720,1000.0,50000.0000000012,204334,204334,17,0.017,339.9999999999918,0.00010197646904648637,21.595016974550056,12.81624677486252,58.2724326861091,62.120521476725116,201501.28401474416,359871.72093521594,5,3.4,1.7058823529411764,14,2,1,0,100,0.0009936141071117221,6.021269177420025e-05,0.9059999999999491
layer_element_count_study,2,street_n9,9,1,448078006199b76b49d980de130fdf32ccad780444fc0758fecce8460f071085,1000.0,49999.999999999236,204145,204145,35,0.035,700.0000000000108,0.0001595085587190705,16.406594611104396,12.735970444511622,38.72233813852072,73.91623692167923,96379.18487389841,214854.6346986197,4,6.75,0.9259259259259259,35,0,0,0,100,0.0010093939968888453,6.589711811356917e-05,0.9690000000000509
layer_element_count_study,2,street_n9,9,2,1065632118d84e430a13d35c76ef026859c57064cb7b77a844df081bc78aebf0,1000.0,50000.00000000235,203694,203694,25,0.025,499.9999999999765,0.00017767541428751428,25.58525965740206,16.17113988636993,63.70069749141118,111.91663669329137,137859.7513282701,356140.12171288335,5,5.0,3.7,25,0,0,0,100,0.00093576165838139,5.515905709751101e-05,0.9220000000004802
layer_element_count_study,2,street_n9,9,3,4de7bd5ebc3de58b911a8fc231b867c2c5e8bf25c2277003d5f4b1b3e048e91a,1000.0,50000.00000000148,204265,204265,25,0.025,499.9999999999853,0.0001685117012509565,24.26568498013774,18.389100197236985,47.5203456054442,152.19128904206445,117436.88514240696,275321.3210597028,5,5.0,1.5,24,1,0,0,100,0.0010040066483820813,6.130888189608193e-05,0.9530000000004293
layer_element_count_study,3,street_n10,10,1,39307e2f07d7190063ca1733898ac6055be4afc03f7a1cfb4b93cbca8a4f7e79,1000.0,50000.000000001535,203809,203809,21,0.021,419.9999999999871,0.00012497056214201823,21.423524938631697,17.301720287185162,33.43392705521546,57.13441989663988,153705.56979913046,357811.2400837408,5,4.2,0.4047619047619047,21,0,0,0,100,0.000982411368990169,5.971939236665539e-05,0.875
